Marker,Fluor
HLA-DR,BV785
HLA-DR,Biotin
HLA-DR,PE-Cy5
HLA-DR,PE-Cy5.5
HLA-DR,PE-TexasRed
HLA-DR,PacificOrange
HLA-DR,Qdot605
IFN-a[2b],PE
IFN-g,BV570
IFN-g,BV786
IFN-g,PE-Cy7
IL-10,APC
IL-10,BV421
IL-10,BV786
IL-10,PE-CF594
IL-10,PE-Dazzle594
IL-12(p40/p70),BV421
IL-12/23 p40,AF488
IL-12/23 p40,AF647
IL-12,APC
IL-13,PE
IL-16,PE
IL-17a,AF647
IL-17a,BV421
IL-17a,BV711
IL-17a,PE-Cy5.5
IL-17a,PacificBlue
IL-22,PE
IL-22,PE-Cy7
IL-2,AF647
IL-2,AF700
IL-2,BUV737
IL-2,PE
IL-31,APC
IL-31,PE
IL-31,eFluor660
IL-4,AF488
IL-4,BV421
IL-4,BV510
IL-4,PE
IL-5,AF532
IL-5,BV421
IL-5,PE
IL-5,PerCP
IL-5,eFluor450
IL-6,Biotin
IL-6,PE-CF594
IL-9,PE
IL-9,PerCP-Cy5.5
IL33R,APC
IL33R,PE
IgD,APC-H7
IgD,BUV563
IgD,BV510
IgD,FITC
IgE,BV421
IgE,PE-Cy7
IgE,PerCP-Cy5.5
IgG,AF647
IgG,APC-Vio770
IgG,Biotin
IgG,FITC
IgKappa,AF647
IgKappa,FITC
IgLambda,AF488
IgLambda,FITC
IgM,BV480
IgM,BV570
IgM,BV786
IgM,PE
KIR2D,VioBlue
KLRG1,PE
Ki67,AF532
Ki67,BV421
Ki67,BV510
Ki67,BV711
Ki67,FITC
LiveDead,LiveDeadAqua
LiveDead,LiveDeadBlue
Ly-6G,Biotin
MIP-1B,BV421
MIP-1B,FITC
MIP-1B,PE-Cy7
MIP-1a,APC
MIP-1a,APC-Vio770
MerTK,AF700
Nur77,PE
Osteocalcin,PE
Perforin,AF488
RORgT,AF488
RORgT,PE
Strep,APC
Strep,BV421
Strep,BV570
Strep,PE
Strep,PE-Cy5
Strep,PE-Cy5.5
Strep,Qdot565
Strep,Qdot585
Strep,Qdot655
Strep,Qdot705
T-bet,BV711
T-bet,PE
TCR-yS,APC
TIGIT,AF488
TIGIT,BV421
TNF-a,AF488
TNF-a,BV510
TNF-a,BV605
TNF-a,BV650
TNF-a,FITC
TNF-a,PacificBlue
TNF-a,PerCP-Cy5.5
TSLP,BUV395
TSLP,PerCP-eFluor710
Zenon,AF405
Zenon,AF700
